,Experiment,Direction,Variables,# Objectives,Solution approach,Instance,# Variables,# Constraints,Objective value,Relative gap,Solve time (s),Error
221,4,Max,Continuous,2,N-O-10000,800-400.0-2.lp,800,400,329556557.396681,0,12.48,
222,4,Max,Continuous,2,N-O-10000,800-400.0-3.lp,800,400,337113210.939119,0,14.49,
223,4,Max,Continuous,2,N-O-10000,800-400.0-4.lp,800,400,347021883.167974,0,15.38,
224,4,Max,Continuous,2,N-O-10000,800-400.0-5.lp,800,400,371226017.088582,0,30.21,
225,4,Max,Continuous,2,N-O-10000,800-800-1.lp,800,800,138411879.456089,0,19.92,
226,4,Max,Continuous,2,N-O-10000,800-800-2.lp,800,800,128657112.580637,0,24.32,
227,4,Max,Continuous,2,N-O-10000,800-800-3.lp,800,800,118501596.622582,0,25.2,
228,4,Max,Continuous,2,N-O-10000,800-800-4.lp,800,800,124946638.71774,0,27.34,
229,4,Max,Continuous,2,N-O-10000,800-800-5.lp,800,800,123963920.301202,0,25.21,
230,4,Max,Continuous,2,N-O-10000,800-1200.0-1.lp,800,1200,89743362.742475,0,57.05,
231,4,Max,Continuous,2,N-O-10000,800-1200.0-2.lp,800,1200,65203983.46926,0,43.45,
232,4,Max,Continuous,2,N-O-10000,800-1200.0-3.lp,800,1200,74163398.638709,0,28.61,
233,4,Max,Continuous,2,N-O-10000,800-1200.0-4.lp,800,1200,78183875.803343,0,28.48,
234,4,Max,Continuous,2,N-O-10000,800-1200.0-5.lp,800,1200,88347232.00284,0,36.16,
235,4,Max,Continuous,2,N-O-10000,800-1600-1.lp,800,1600,51805045.70765,0,42.87,
236,4,Max,Continuous,2,N-O-10000,800-1600-2.lp,800,1600,57044118.919604,0,76.17,
237,4,Max,Continuous,2,N-O-10000,800-1600-3.lp,800,1600,57066193.015729,0,51.42,
238,4,Max,Continuous,2,N-O-10000,800-1600-4.lp,800,1600,54526856.292788,0,36.08,
239,4,Max,Continuous,2,N-O-10000,800-1600-5.lp,800,1600,52782253.513414,0,36.85,
240,4,Max,Continuous,2,N-O-10000,1200-600.0-1.lp,1200,600,777360485.204968,0,31.14,
241,4,Max,Continuous,2,N-O-10000,1200-600.0-2.lp,1200,600,699487529.206876,0,35.9,
242,4,Max,Continuous,2,N-O-10000,1200-600.0-3.lp,1200,600,704533100.766647,0,31.52,
243,4,Max,Continuous,2,N-O-10000,1200-600.0-4.lp,1200,600,646978729.244453,0,27.46,
244,4,Max,Continuous,2,N-O-10000,1200-600.0-5.lp,1200,600,660690614.779929,0,32.48,
245,4,Max,Continuous,2,N-O-10000,1200-1200-1.lp,1200,1200,311250268.162454,0,53.35,
246,4,Max,Continuous,2,N-O-10000,1200-1200-2.lp,1200,1200,269386538.236446,0,62.19,
247,4,Max,Continuous,2,N-O-10000,1200-1200-3.lp,1200,1200,287771372.291024,0,95.22,
248,4,Max,Continuous,2,N-O-10000,1200-1200-4.lp,1200,1200,275858344.980535,0,50.57,
249,4,Max,Continuous,2,N-O-10000,1200-1200-5.lp,1200,1200,261733795.044406,0,95.91,
250,4,Max,Continuous,2,N-O-10000,1200-1800.0-1.lp,1200,1800,153099085.899368,0,89.78,
251,4,Max,Continuous,2,N-O-10000,1200-1800.0-2.lp,1200,1800,179659446.794638,0,83.07,
252,4,Max,Continuous,2,N-O-10000,1200-1800.0-3.lp,1200,1800,187881976.154632,0,54.67,
253,4,Max,Continuous,2,N-O-10000,1200-1800.0-4.lp,1200,1800,187593124.621959,0,209.07,
254,4,Max,Continuous,2,N-O-10000,1200-1800.0-5.lp,1200,1800,172340544.769142,0,77.02,
255,4,Max,Continuous,2,N-O-10000,1200-2400-1.lp,1200,2400,128782538.517917,0,86.53,
256,4,Max,Continuous,2,N-O-10000,1200-2400-2.lp,1200,2400,128038351.207404,0,176.37,
257,4,Max,Continuous,2,N-O-10000,1200-2400-3.lp,1200,2400,132560786.472105,0,119.5,
258,4,Max,Continuous,2,N-O-10000,1200-2400-4.lp,1200,2400,122942966.352161,0,122.37,
259,4,Max,Continuous,2,N-O-10000,1200-2400-5.lp,1200,2400,120692593.88068,0,107.23,
260,4,Max,Continuous,2,N-O-10000,1600-800.0-1.lp,1600,800,1157369164.104858,0,424.32,
261,4,Max,Continuous,2,N-O-10000,1600-800.0-2.lp,1600,800,1116597774.58855,0,137.14,
262,4,Max,Continuous,2,N-O-10000,1600-800.0-3.lp,1600,800,1116382739.277121,0,956.18,
263,4,Max,Continuous,2,N-O-10000,1600-800.0-4.lp,1600,800,1140353839.478131,0,107.59,
264,4,Max,Continuous,2,N-O-10000,1600-800.0-5.lp,1600,800,1198189466.070621,0,149.99,
265,4,Max,Continuous,2,N-O-10000,1600-1600-1.lp,1600,1600,458644706.238014,0,109.48,
266,4,Max,Continuous,2,N-O-10000,1600-1600-2.lp,1600,1600,441948745.153144,0,36.27,
267,4,Max,Continuous,2,N-O-10000,1600-1600-3.lp,1600,1600,468119069.893554,0,139.67,
268,4,Max,Continuous,2,N-O-10000,1600-1600-4.lp,1600,1600,405531573.248521,0,235.24,
269,4,Max,Continuous,2,N-O-10000,1600-1600-5.lp,1600,1600,426042981.393056,0,108.72,
270,4,Max,Continuous,2,N-O-10000,1600-2400.0-1.lp,1600,2400,296073249.88222,0,200.32,
